"Name","Release"
"Hydlide","1984-12-01"
"Where in the World Is Carmen Sandiego?","1985-06-01"
"International Karate","1985-11-01"
"Tetris","1988-01-01"
"Last Ninja 2","1988-08-01"
"RoboCop","1988-12-01"
"Populous","1989-06-01"
"Return to Zork","1993-08-01"
"Myst","1993-09-01"
"Star Wars: Rebel Assault","1993-11-01"
"Doom","1993-12-01"
"Doom II: Hell on Earth","1994-09-01"
"Wing Commander 3: Heart of the Tiger","1994-12-01"
"Full Throttle","1995-04-01"
"Phantasmagoria","1995-07-01"
"Command & Conquer","1995-08-01"
"Caesar II","1995-09-01"
"Daryl F. Gates' Police Quest: SWAT","1995-09-01"
"Warcraft II: Tides of Darkness","1995-12-01"
"Duke Nukem 3D","1996-01-01"
"Civilization II","1996-02-01"
"Quake","1996-06-01"
"Grand Prix 2","1996-08-01"
"Command & Conquer: Red Alert","1996-10-01"
"Lords of the Realm II","1996-10-01"
"Diablo","1996-12-01"
"POD","1997-02-01"
"Total Annihilation","1997-09-01"
"Age of Empires","1997-10-01"
"Deer Hunter","1997-11-01"
"Blade Runner","1997-11-01"
"Frogger","1997-11-01"
"Quake II","1997-12-01"
"StarCraft","1998-03-01"
"Unreal","1998-05-01"
"Final Fantasy VII","1998-06-01"
"Commandos: Behind Enemy Lines","1998-06-01"
"Anno 1602","1998-09-01"
"Railroad Tycoon II","1998-11-01"
"Half-Life","1998-11-01"
"Baldur's Gate","1998-12-01"
"SimCity 3000","1999-01-01"
"RollerCoaster Tycoon","1999-03-01"
"EverQuest","1999-03-01"
"Caesar III","1999-05-01"
"Hidden & Dangerous","1999-07-01"
"Command & Conquer: Tiberian Sun","1999-08-01"
"Age of Empires II: The Age of Kings","1999-09-01"
"Unreal Tournament","1999-11-01"
"Who Wants to Be a Millionaire?","1999-11-01"
"The Sims","2000-02-01"
"Diablo II","2000-06-01"
"Baldur's Gate II: Shadows of Amn","2000-09-01"
"American McGee's Alice","2000-10-01"
"Command & Conquer: Red Alert 2","2000-10-01"
"Black & White","2001-03-01"
"Tropico","2001-04-01"
"Operation Flashpoint: Cold War Crisis","2001-06-01"
"Runaway: A Road Adventure","2001-07-01"
"Zoo Tycoon","2001-10-01"
"Civilization III","2001-10-01"
"Stronghold","2001-10-01"
"Return to Castle Wolfenstein","2001-11-01"
"Harry Potter and the Philosopher's Stone","2001-11-01"
"Empire Earth","2001-11-01"
"Dungeon Siege","2002-04-01"
"Hotel Giant","2002-05-01"
"Neverwinter Nights","2002-06-01"
"Warcraft III: Reign of Chaos","2002-07-01"
"Stronghold: Crusader","2002-07-01"
"Mafia: The City of Lost Heaven","2002-08-01"
"Battlefield 1942","2002-09-01"
"Age of Mythology","2002-10-01"
"SimCity 4","2003-01-01"
"Vietcong","2003-03-01"
"Anno 1503","2003-03-01"
"Star Wars Galaxies","2003-06-01"
"The Legend of Sword and Fairy 3","2003-07-01"
"Patrician III: Rise of the Hanse","2003-10-01"
"Hidden & Dangerous 2","2003-10-01"
"Sacred","2004-03-01"
"Counter-Strike: Condition Zero","2004-03-01"
"Far Cry","2004-03-01"
"Battlefield Vietnam","2004-03-01"
"Rome: Total War","2004-09-01"
"Warhammer 40,000: Dawn of WarÂ (including expansions)","2004-09-01"
"The Sims 2","2004-09-01"
"RollerCoaster Tycoon 3","2004-10-01"
"Half-Life 2","2004-11-01"
"Counter-Strike: Source","2004-11-01"
"World of Warcraft","2004-11-01"
"Guild Wars","2005-04-01"
"Psychonauts","2005-04-01"
"Cossacks II: Napoleonic Wars","2005-04-01"
"Imperivm: Great Battles of Rome","2005-05-01"
"Dungeon Lords","2005-05-01"
"Theme Park","2005-06-01"
"The Last Ninja","2005-06-01"
"Civilization IV","2005-10-01"
"Age of Empires III","2005-10-01"
"Glory of the Roman Empire","2006-06-01"
"Microsoft Flight Simulator X","2006-10-01"
"Garry's Mod","2006-11-01"
"Supreme Commander","2007-02-01"
"Command & Conquer 3: Tiberium Wars","2007-03-01"
"BioShock","2007-08-01"
"The Witcher","2007-10-01"
"Crysis","2007-11-01"
"Spore","2008-09-01"
"Warhammer Online: Age of Reckoning","2008-09-01"
"Crysis Warhead","2008-09-01"
"Killing Floor","2009-05-01"
"The Sims 3","2009-06-01"
"Ultra Street Fighter IV","2009-07-01"
"Resident Evil 5","2009-09-01"
"Machinarium","2009-10-01"
"Sega Mega Drive and Genesis Classics","2010-06-01"
"StarCraft II: Wings of Liberty","2010-07-01"
"Civilization V","2010-09-01"
"Magicka","2011-01-01"
"The Witcher 2: Assassins of Kings","2011-05-01"
"Terraria","2011-05-01"
"The Legend of Sword and Fairy 5","2011-07-01"
"The Binding of Isaac","2011-09-01"
"Minecraft","2011-11-01"
"Crusader Kings II","2012-02-01"
"Diablo III","2012-05-01"
"Guild Wars 2","2012-08-01"
"Dark Souls","2012-08-01"
"Prison Architect","2012-09-01"
"Euro Truck Simulator 2","2012-10-01"
"American Truck Simulator","2012-10-01"
"SimCity","2013-03-01"
"StarCraft II: Heart of the Swarm","2013-03-01"
"Resident Evil 6","2013-03-01"
"Europa Universalis IV","2013-08-01"
"Pac-Man Championship Edition DX+","2013-09-01"
"ARMA 3","2013-09-01"
"The Stanley Parable","2013-10-01"
"Space Engineers","2013-10-01"
"DayZ","2013-12-01"
"Resident Evil 4: Ultimate HD Edition","2014-02-01"
"Dark Souls II","2014-04-01"
"Life Is Strange","2015-01-01"
"Just Survive[e]","2015-01-01"
"Cities: Skylines","2015-03-01"
"Grand Theft Auto V","2015-04-01"
"The Witcher 3: Wild Hunt","2015-05-01"
"Ark: Survival Evolved","2015-06-01"
"Metal Gear Solid V: The Phantom Pain","2015-09-01"
"StarCraft II: Legacy of the Void","2015-11-01"
"Stardew Valley","2016-02-01"
"Danganronpa: Trigger Happy Havoc","2016-02-01"
"Factorio","2016-02-01"
"Dark Souls III","2016-04-01"
"Danganronpa 2: Goodbye Despair","2016-04-01"
"Stellaris","2016-05-01"
"7 Days to Die","2016-06-01"
"Hearts of Iron IV","2016-06-01"
"Planet Coaster","2016-11-01"
"Hollow Knight","2017-02-01"
"Nier: Automata","2017-03-01"
"Divinity: Original Sin II","2017-09-01"
"Cuphead","2017-09-01"
"Stickfight: The Game","2017-09-01"
"PlayerUnknown's Battlegrounds","2017-12-01"
"Rust","2018-02-01"
"Kingdom Come: Deliverance","2018-02-01"
"The Forest","2018-04-01"
"Satisfactory","2019-03-01"
"Mordhau","2019-04-01"
"Fall Guys","2020-08-01"
"Crusader Kings III","2020-09-01"
"Cyberpunk 2077","2020-12-01"
"Valheim","2021-02-01"
